team1,team2,prob1,prob2,person1,person2
Washington,Tennessee,0.0,1.0,Josh,Micah
Baltimore,L.A. Chargers,1.0,0.0,John,Matt
Atlanta,Carolina,1.0,0.0,Matt,Ryan
Buffalo,New England,0.0,1.0,Ryan,Aaron
Cincinnati,Cleveland,0.0,1.0,Jon,
Green Bay,N.Y. Jets,1.0,0.0,Jon,Josh
Houston,Philadelphia,0.0,1.0,Colin,Brad
Jacksonville,Miami,1.0,0.0,Brian,Brad
Minnesota,Detroit,1.0,0.0,Josh,Colin
N.Y. Giants,Indianapolis,0.0,1.0,John,Colin
Tampa Bay,Dallas,0.0,1.0,Brian,Brad
Chicago,San Francisco,1.0,0.0,Aaron,Aaron
L.A. Rams,Arizona,1.0,0.0,John,
Pittsburgh,New Orleans,0.0,1.0,Brian,Micah
Kansas City,Seattle,0.0,1.0,Ryan,Jon
Denver,Oakland,0.61,0.39,Micah,Matt
Atlanta,Tampa Bay,0.54,0.46,Matt,Brian
Carolina,New Orleans,0.13,0.87,Ryan,Micah
Dallas,N.Y. Giants,0.62,0.38,Brad,John
Detroit,Green Bay,0.35,0.65,Colin,Jon
Jacksonville,Houston,0.29,0.71,Brian,Colin
Miami,Buffalo,0.41,0.59,Brad,Ryan
N.Y. Jets,New England,0.11,0.89,Josh,Aaron
Arizona,Seattle,0.12,0.88,,Jon
Chicago,Minnesota,0.44,0.56,Aaron,Josh
Cincinnati,Pittsburgh,0.17,0.83,Jon,Brian
Cleveland,Baltimore,0.19,0.81,,John
L.A. Chargers,Denver,0.59,0.41,Matt,Micah
Oakland,Kansas City,0.1,0.9,Matt,Ryan
Philadelphia,Washington,0.65,0.35,Brad,Josh
San Francisco,L.A. Rams,0.15,0.85,Aaron,John
Indianapolis,Tennessee,0.38,0.62,Colin,Micah
L.A. Chargers,Kansas City,1.0,0.0,Matt,Ryan
Houston,N.Y. Jets,1.0,0.0,Colin,Josh
Cleveland,Denver,1.0,0.0,,Micah
Arizona,Atlanta,0.0,1.0,,Matt
Dallas,Indianapolis,0.0,1.0,Brad,Colin
Detroit,Buffalo,0.0,1.0,Colin,Ryan
Green Bay,Chicago,0.0,1.0,Jon,Aaron
Miami,Minnesota,0.0,1.0,Brad,Josh
Oakland,Cincinnati,0.0,1.0,Matt,Jon
Tampa Bay,Baltimore,0.0,1.0,Brian,John
Tennessee,N.Y. Giants,1.0,0.0,Micah,John
Washington,Jacksonville,1.0,0.0,Josh,Brian
Seattle,San Francisco,0.0,1.0,Jon,Aaron
New England,Pittsburgh,0.0,1.0,Aaron,Brian
Philadelphia,L.A. Rams,1.0,0.0,Brad,John
New Orleans,Carolina,1.0,0.0,Micah,Ryan
Jacksonville,Tennessee,0.0,1.0,Brian,Micah
Atlanta,Green Bay,0.0,1.0,Matt,Jon
Baltimore,Kansas City,0.0,1.0,John,Ryan
Carolina,Cleveland,0.0,1.0,Ryan,
Indianapolis,Houston,1.0,0.0,Colin,Colin
New England,Miami,0.0,1.0,Aaron,Brad
New Orleans,Tampa Bay,1.0,0.0,Micah,Brian
N.Y. Giants,Washington,1.0,0.0,John,Josh
N.Y. Jets,Buffalo,1.0,0.0,Josh,Ryan
Cincinnati,L.A. Chargers,0.0,1.0,Jon,Matt
Denver,San Francisco,0.0,1.0,Micah,Aaron
Detroit,Arizona,1.0,0.0,Colin,
Philadelphia,Dallas,0.0,1.0,Brad,Brad
Pittsburgh,Oakland,0.0,1.0,Brian,Matt
L.A. Rams,Chicago,0.0,1.0,John,Aaron
Minnesota,Seattle,0.0,1.0,Josh,Jon
New Orleans,Dallas,0.0,1.0,Micah,Brad
Arizona,Green Bay,1.0,0.0,,Jon
Baltimore,Atlanta,1.0,0.0,John,Matt
Buffalo,Miami,0.0,1.0,Ryan,Brad
Carolina,Tampa Bay,0.0,1.0,Ryan,Brian
Chicago,N.Y. Giants,0.0,1.0,Aaron,John
Cleveland,Houston,0.0,1.0,,Colin
Denver,Cincinnati,1.0,0.0,Micah,Jon
Indianapolis,Jacksonville,0.0,1.0,Colin,Brian
L.A. Rams,Detroit,1.0,0.0,John,Colin
Kansas City,Oakland,1.0,0.0,Ryan,Matt
N.Y. Jets,Tennessee,0.0,1.0,Josh,Micah
Minnesota,New England,0.0,1.0,Josh,Aaron
San Francisco,Seattle,0.0,1.0,Aaron,Jon
L.A. Chargers,Pittsburgh,1.0,0.0,Matt,Brian
Washington,Philadelphia,0.0,1.0,Josh,Brad
Chicago,Detroit,1.0,0.0,Aaron,Colin
Washington,Dallas,0.0,1.0,Josh,Brad
Atlanta,New Orleans,0.0,1.0,Matt,Micah
Cleveland,Cincinnati,1.0,0.0,,Jon
Jacksonville,Buffalo,0.0,1.0,Brian,Ryan
New England,N.Y. Jets,1.0,0.0,Aaron,Josh
N.Y. Giants,Philadelphia,0.0,1.0,John,Brad
Oakland,Baltimore,0.0,1.0,Matt,John
Seattle,Carolina,1.0,0.0,Jon,Ryan
San Francisco,Tampa Bay,0.0,1.0,Aaron,Brian
Arizona,L.A. Chargers,0.0,1.0,,Matt
Miami,Indianapolis,0.0,1.0,Brad,Colin
Pittsburgh,Denver,0.0,1.0,Brian,Micah
Green Bay,Minnesota,0.0,1.0,Jon,Josh
Tennessee,Houston,0.0,1.0,Micah,Colin
Green Bay,Seattle,0.0,1.0,Jon,Jon
Carolina,Detroit,0.0,1.0,Ryan,Colin
Cincinnati,Baltimore,0.0,1.0,Jon,John
Dallas,Atlanta,1.0,0.0,Brad,Matt
Houston,Washington,1.0,0.0,Colin,Josh
